日期(年/月),單位,天然氣供給_合計,天然氣供給_自產量,天然氣供給_進口量,天然氣轉變投入_合計,天然氣轉變投入_煉油廠,天然氣轉變投入_發電及汽電,天然氣消費_合計,天然氣消費_能源部門自用,天然氣消費_工業部門,天然氣消費_運輸部門,天然氣消費_農業部門,天然氣消費_服務業部門,天然氣消費_住宅部門,天然氣消費_非能源消費,自產天然氣可供市場銷售之NG1_小計,自產天然氣可供市場銷售之NG1_自產量,自產天然氣可供市場銷售之NG1_由LNG來之調整量,自產天然氣轉變投入_發電及汽電,自產天然氣NG1消費_合計,自產天然氣NG1消費_能源部門自用,自產天然氣NG1消費_工業部門,自產天然氣NG1消費_運輸部門,自產天然氣NG1消費_農業部門,自產天然氣NG1消費_服務業部門,自產天然氣NG1消費_住宅部門,自產天然氣NG1消費_非能源消費,(進口)液化天然氣進口量,(進口)液化天然氣可供市場銷售之NG2可供市場銷售之NG2,(進口)液化天然氣轉變投入_小計,(進口)液化天然氣轉變投入_煉油廠,(進口)液化天然氣轉變投入_發電及汽電,(進口)液化天然氣NG2消費_小計,(進口)液化天然氣NG2消費_能源部門自用,(進口)液化天然氣NG2消費_工業部門,(進口)液化天然氣NG2消費_運輸部門,(進口)液化天然氣NG2消費_農業部門,(進口)液化天然氣NG2消費_服務業部門,(進口)液化天然氣NG2消費_住宅部門,(進口)液化天然氣NG2消費_非能源消費
201709,千立方公尺,2024006.982782057,23573,2000433.982782057,1768132.97272933,4211,1763921.97272933,354777.33127067,29234.52906384,237219.59120683,0,31.374,41443.728,46848.109,0,127026.875,23573,103453.875,185.46657303,121338.99942697,146.102,47114.01242697,0,0,30724.019,43354.866,0,2000433.982782057,2065387,1767947.5061563,4211,1763736.5061563,233438.3318437,29088.42706384,190105.57877986,0,31.374,10719.709,3493.243,0
201710,千立方公尺,1988545.138196647,20720,1967825.138196647,1525363.87534122,4711,1520652.87534122,360998.93665878,31701.14050716,241945.32015162,0,102.637,41011.806,46238.033,0,138714.5,20720,117994.5,106.2991573,120351.6388427,72.043,47503.1548427,0,0,30065.94,42710.501,0,1967825.138196647,1886135,1525257.57618392,4711,1520546.57618392,240647.29781608,31629.09750716,194442.16530892,0,102.637,10945.866,3527.532,0
201711,千立方公尺,1806954.1123697327,19018,1787936.1123697327,1457594.34560305,6846,1450748.34560305,380153.64139695,33738.05797227,247601.62042468,0,315.004,44613.257,53885.702,0,157520.125,19018,138502.125,208.36320225,131657.47679775,109,48836.67779775,0,0,32633.009,50078.79,0,1787936.1123697327,1889676,1457385.9824008,6846,1450539.9824008,248496.1645992,33629.05797227,198764.94262693,0,315.004,11980.248,3806.912,0
201712,千立方公尺,1807975.1875849569,12457,1795518.1875849569,1478318.58061608,13284,1465034.58061608,413199.92738392,26296.86630366,273298.73308026,0,681.351,45992.922,66930.055,0,191579.5,12457,179122.5,130.20463483,148026.18036517,116.058,51272.81236517,0,0,34392.072,62245.238,0,1795518.1875849569,2029935,1478188.37598125,13284,1464904.37598125,265173.74701875,26180.80830366,222025.92071509,0,681.351,11600.85,4684.817,0
201801,千立方公尺,1925660.805183507,9864.72,1915796.085183507,1427737.44845302,14655.952,1413081.49645302,435254.34154698,27874.29537037,273117.78617661,0,859.612,47279.369,86123.279,0,195360.669,9864.72,185495.949,0,167750.851,107.768,52352.905,0,0,35038.218,80251.96,0,1915796.085183507,1785051.581,1427737.44845302,14655.952,1413081.49645302,267503.49054698,27766.52737037,220764.88117661,0,859.612,12241.151,5871.319,0
201802,千立方公尺,1514113.5067367468,10345.224,1503768.2827367468,1196865.38129028,7068.665,1189796.71629028,386778.14570972,21066.97067569,228312.94603403,0,937.072,44186.14,92275.017,0,182216.7705,10345.224,171871.5465,11.89507303,158951.71892697,82.119,39650.66892697,0,0,33401.466,85817.465,0,1503768.2827367468,1575225.195,1196853.48621725,7068.665,1189784.82121725,227826.42678275,20984.85167569,188662.27710706,0,937.072,10784.674,6457.552,0
201803,千立方公尺,1860656.304873584,16709.608,1843946.696873584,1548760.91824914,6523,1542237.91824914,443324.46275086,30183.28950216,267059.1942487,0,579.774,44743.934,100758.271,0,187403.41,16709.608,170693.802,4.88128652,177515.51771348,104.542,49911.87771348,0,0,33463.065,94036.033,0,1843946.696873584,1945524.398,1548756.03696262,6523,1542233.03696262,265808.94503738,30078.74750216,217147.31653522,0,579.774,11280.869,6722.238,0
201804,千立方公尺,2040625.660004078,15529.747,2025095.913004078,1527150.8609214,7119,1520031.8609214,415916.7890786,25347.22425386,252292.64182474,0,331.314,44903.127,93042.482,0,160721.831875,15529.747,145192.084875,0,170957.106,133.98,50120.782,0,0,33810.455,86891.889,0,2025095.913004078,1896551.425,1527150.8609214,7119,1520031.8609214,244959.6830786,25213.24425386,202171.85982474,0,331.314,11092.672,6150.593,0
201805,千立方公尺,2105055.344392841,18015.725,2087039.619392841,1702697.51416941,1228,1701469.51416941,413522.93983059,25552.24825119,266992.3105794,0,109.519,40885.219,79983.643,0,150582.2195,18015.725,132566.4945,0.05058989,157499.56841011,160.125,51452.53341011,0,0,31137.509,74749.401,0,2087039.619392841,2062500.349,1702697.46357952,1228,1701469.46357952,256023.37142048,25392.12325119,215539.77716929,0,109.519,9747.71,5234.242,0
201806,千立方公尺,2119795.9721314,16825.442,2102970.5301314,1537581.08567707,1666,1535915.08567707,392700.87032293,28809.91620913,258194.0661138,0,84.107,39811.488,65801.293,0,137927.888375,16825.442,121102.446375,0,142665.18,216.829,50711.224,0,0,30337.024,61400.103,0,2102970.5301314,1911535.211,1537581.08567707,1666,1535915.08567707,250035.69032293,28593.08720913,207482.8421138,0,84.107,9474.464,4401.19,0
201807,千立方公尺,1965119.8079225192,18262.155,1946857.6529225192,1647858.41042473,4101.509,1643756.90142473,394138.05257527,32893.0643784,265082.53119687,0,66.036,38679.163,57417.258,0,135054.9705,18262.155,116792.8155,0,134282.129,150.477,51276.961,0,0,29439.056,53415.635,0,1946857.6529225192,1994978.095,1647858.41042473,4101.509,1643756.90142473,259855.92357527,32742.5873784,213805.57019687,0,66.036,9240.107,4001.623,0
201808,千立方公尺,2068389.5389134571,20225.026,2048164.5129134571,1634057.00352029,1461.25,1632595.75352029,397814.84347971,27771.6994996,278845.06798011,0,66.654,38742.915,52388.507,0,139248.38575,20225.026,119023.35975,156.34815169,131001.94984831,220.417,53524.07084831,0,0,28968.635,48288.827,0,2048164.5129134571,2028457.524,1633900.6553686,1461.25,1632439.4053686,266812.8936314,27551.2824996,225320.9971318,0,66.654,9774.28,4099.68,0
201809,千立方公尺,1539723.6186887178,18844.978,1520878.6406887178,1392861.33414263,6909,1385952.33414263,388050.80285737,31854.21770547,264311.9031519,0,88.086,38519.923,53276.673,0,137047.320625,18844.978,118202.342625,157.40481461,128541.02118539,152.039,50271.97918539,0,0,29141.674,48975.329,0,1520878.6406887178,1771793.887,1392703.92932802,6909,1385794.92932802,259509.78167198,31702.17870547,214039.92396651,0,88.086,9378.249,4301.344,0
201810,千立方公尺,1873668.7140289985,18266.666,1855402.0480289985,1408467.29218333,7227,1401240.29218333,404032.08981667,41321.21170627,268653.6531104,0,229.6,38709.362,55118.263,0,163332.7115,18266.666,145066.0455,256.31614466,133267.74885534,171.438,53368.30185534,0,0,28966.592,50761.417,0,1855402.0480289985,1838021.685,1408210.97603867,7227,1400983.97603867,270764.34096133,41149.77370627,215285.35125506,0,229.6,9742.77,4356.846,0
